dist_group,main_mode,share
0 - 1000,bike,0.0925052078437281
0 - 1000,car,0.03490207610584852
0 - 1000,pt,0.007527859016310528
0 - 1000,ride,0.013764680688196156
0 - 1000,walk,0.17223112529437667
1000 - 2000,bike,0.06029297515418664
1000 - 2000,car,0.03241608630717224
1000 - 2000,pt,0.01537731698762719
1000 - 2000,ride,0.012680004451595357
1000 - 2000,walk,0.039765219958640276
2000 - 5000,bike,0.05701307127962346
2000 - 5000,car,0.06588441153099775
2000 - 5000,pt,0.057214364056205766
2000 - 5000,ride,0.021436587013484217
2000 - 5000,walk,0.02002721747227703
5000 - 10000,bike,0.013140048875785446
5000 - 10000,car,0.04909073604013521
5000 - 10000,pt,0.07086674119425462
5000 - 10000,ride,0.013867114330135733
5000 - 10000,walk,0.00627347370939213
10000 - 20000,bike,0.008091937608095501
10000 - 20000,car,0.023284980741941807
10000 - 20000,pt,0.030901828984687345
10000 - 20000,ride,0.007797440887519219
10000 - 20000,walk,0.0007109534960868748
20000+,bike,0.0017697545679268957
20000+,car,0.011607545560830058
20000+,pt,0.054366175301733766
20000+,ride,0.005178234003466311
20000+,walk,1.483153773916788e-05
